,GFS Run Time,GFS Order Time,GFS 2m Temperature Value
0,1593669600,1593712800,78.28643310546879
1,1593648000,1593712800,78.59361083984379
2,1593453600,1593712800,79.5111889648438
3,1593410400,1593712800,81.05976684570317
4,1593583200,1593712800,79.14473999023441
5,1593604800,1593712800,78.90529296875005
6,1593367200,1593712800,79.07003295898441
7,1593496800,1593712800,80.51231811523442
8,1593626400,1593712800,79.43000000000004
9,1593324000,1593712800,76.58476074218754
10,1593345600,1593712800,78.02765014648442
11,1593432000,1593712800,80.14998901367191
12,1593280800,1593712800,78.71001098632817
13,1593302400,1593712800,77.44998901367191
14,1593518400,1593712800,79.27113769531255
15,1593561600,1593712800,78.53000000000004
16,1593388800,1593712800,78.89002197265629
17,1593475200,1593712800,79.79002197265629
18,1593691200,1593712800,78.17003295898442
19,1593540000,1593712800,79.97003295898442
20,1593691200,1593716400,78.17003295898442
21,1593648000,1593716400,78.53000000000004
22,1593669600,1593716400,77.9900219726563
23,1593604800,1593716400,79.0853588867188
24,1593367200,1593716400,77.98996704101566
25,1593432000,1593716400,80.14998901367191
26,1593345600,1593716400,77.44998901367191
27,1593302400,1593716400,77.44998901367191
28,1593496800,1593716400,79.79002197265629
29,1593583200,1593716400,79.33117797851567
30,1593453600,1593716400,79.61001098632816
31,1593410400,1593716400,80.14998901367191
32,1593324000,1593716400,76.01001098632817
33,1593518400,1593716400,79.07003295898441
34,1593388800,1593716400,78.71001098632817
35,1593475200,1593716400,79.29558227539067
36,1593626400,1593716400,79.44532592773442
37,1593561600,1593716400,78.13707397460942
38,1593540000,1593716400,79.78996704101567
39,1593648000,1593720000,78.54719360351567
40,1593669600,1593720000,77.54815185546879
41,1593367200,1593720000,77.19433715820317
42,1593496800,1593720000,79.55941894531254
43,1593583200,1593720000,79.43000000000004
44,1593604800,1593720000,79.24998901367192
45,1593324000,1593720000,75.82994506835942
46,1593410400,1593720000,79.79002197265629
47,1593388800,1593720000,78.38476074218754
48,1593432000,1593720000,79.97003295898442
49,1593475200,1593720000,78.60470703125004
50,1593345600,1593720000,76.90995605468754
51,1593302400,1593720000,77.00806396484379
52,1593453600,1593720000,79.79002197265629
53,1593518400,1593720000,79.07003295898441
54,1593561600,1593720000,78.53000000000004
55,1593540000,1593720000,79.60995605468754
56,1593626400,1593720000,79.24998901367192
57,1593691200,1593720000,77.95854614257817
58,1593691200,1593723600,78.11762817382817
59,1593669600,1593723600,77.67202270507816
60,1593648000,1593723600,79.10041015625004
61,1593540000,1593723600,79.34183471679691
62,1593324000,1593723600,76.18996704101566
63,1593432000,1593723600,79.78996704101567
64,1593367200,1593723600,76.81717651367191
65,1593302400,1593723600,75.67646606445317
66,1593604800,1593723600,79.60995605468754
67,1593345600,1593723600,76.92341430664067
68,1593388800,1593723600,78.41964233398441
69,1593496800,1593723600,79.6606030273438
70,1593518400,1593723600,79.24998901367192
71,1593453600,1593723600,79.97656982421879
72,1593410400,1593723600,79.8880200195313
73,1593626400,1593723600,79.79002197265629
74,1593583200,1593723600,79.79232910156254
75,1593475200,1593723600,78.72687500000004
76,1593561600,1593723600,79.06591308593754
77,1593669600,1593727200,78.15728881835942
78,1593648000,1593727200,79.76338012695317
79,1593302400,1593727200,76.1153149414063
80,1593604800,1593727200,80.89645507812504
81,1593518400,1593727200,79.42912109375004
82,1593561600,1593727200,79.79309814453129
83,1593475200,1593727200,78.97664916992191
84,1593496800,1593727200,79.78996704101567
85,1593583200,1593727200,80.17179687500004
86,1593626400,1593727200,80.61070068359379
87,1593410400,1593727200,80.32994506835942
88,1593345600,1593727200,77.46064575195317
89,1593432000,1593727200,78.17003295898442
90,1593367200,1593727200,77.11468627929692
91,1593388800,1593727200,78.5701000976563
92,1593540000,1593727200,79.60995605468754
93,1593691200,1593727200,78.63244750976567
94,1593324000,1593727200,76.54998901367192
95,1593453600,1593727200,80.41168334960942
96,1593691200,1593730800,80.29473388671879
97,1593669600,1593730800,79.41000488281254
98,1593648000,1593730800,80.91315429687504
99,1593604800,1593730800,81.43181884765629
100,1593583200,1593730800,80.26809204101566
101,1593388800,1593730800,78.16997802734379
102,1593496800,1593730800,80.50770385742192
103,1593518400,1593730800,78.88765991210941
104,1593453600,1593730800,80.87003295898441
105,1593626400,1593730800,81.03845336914067
106,1593345600,1593730800,79.07003295898441
107,1593367200,1593730800,77.63236206054691
108,1593432000,1593730800,75.81522338867191
109,1593302400,1593730800,76.28126342773442
110,1593324000,1593730800,77.31996582031255
111,1593410400,1593730800,80.51001098632817
112,1593475200,1593730800,79.17423828125004
113,1593561600,1593730800,80.50995605468754
114,1593540000,1593730800,80.14998901367191
115,1593691200,1593734400,80.92122924804691
116,1593669600,1593734400,80.45299194335942
117,1593496800,1593734400,80.87234008789066
118,1593388800,1593734400,76.37003295898441
119,1593367200,1593734400,78.41156738281254
120,1593453600,1593734400,79.95509155273442
121,1593475200,1593734400,78.80042846679692
122,1593648000,1593734400,82.73996093750004
123,1593302400,1593734400,76.73000000000005
124,1593345600,1593734400,80.6900219726563
125,1593410400,1593734400,81.18089111328129
126,1593432000,1593734400,75.29002197265629
127,1593583200,1593734400,81.29542358398442
128,1593518400,1593734400,77.63324096679692
129,1593561600,1593734400,81.77003295898442
130,1593604800,1593734400,82.13933837890629
131,1593324000,1593734400,78.73852050781254
132,1593626400,1593734400,81.51894042968755
133,1593540000,1593734400,80.22936523437504
134,1593691200,1593738000,82.23371093750004
135,1593669600,1593738000,82.39691284179692
136,1593648000,1593738000,83.79448364257817
137,1593496800,1593738000,81.86495483398441
