,GFS Run Time,GFS Order Time,GFS 2m Temperature Value
0,1593669600,1593712800,84.76644409179691
1,1593648000,1593712800,84.53358886718755
2,1593453600,1593712800,84.37115600585942
3,1593410400,1593712800,83.9397778320313
4,1593583200,1593712800,84.36472900390629
5,1593604800,1593712800,84.30529296875004
6,1593367200,1593712800,84.47003295898442
7,1593496800,1593712800,85.01231811523442
8,1593626400,1593712800,84.29002197265629
9,1593324000,1593712800,84.32479370117191
10,1593345600,1593712800,84.68761718750004
11,1593432000,1593712800,84.10995605468754
12,1593280800,1593712800,84.47003295898442
13,1593302400,1593712800,84.47003295898442
14,1593518400,1593712800,84.67113769531254
15,1593561600,1593712800,84.47003295898442
16,1593388800,1593712800,84.47003295898442
17,1593475200,1593712800,84.83000000000004
18,1593691200,1593712800,85.37003295898441
19,1593540000,1593712800,84.83000000000004
20,1593691200,1593716400,85.01001098632817
21,1593648000,1593716400,84.29002197265629
22,1593669600,1593716400,84.64998901367191
23,1593604800,1593716400,83.94532592773442
24,1593367200,1593716400,84.46997802734379
25,1593432000,1593716400,84.29002197265629
26,1593345600,1593716400,84.64998901367191
27,1593302400,1593716400,84.28996704101567
28,1593496800,1593716400,84.83000000000004
29,1593583200,1593716400,84.0111889648438
30,1593453600,1593716400,84.47003295898442
31,1593410400,1593716400,83.74998901367192
32,1593324000,1593716400,84.47003295898442
33,1593518400,1593716400,84.47003295898442
34,1593388800,1593716400,84.29002197265629
35,1593475200,1593716400,84.51557128906254
36,1593626400,1593716400,83.94532592773442
37,1593561600,1593716400,84.25711791992191
38,1593540000,1593716400,84.64998901367191
39,1593648000,1593720000,84.05518920898442
40,1593669600,1593720000,84.38812988281254
41,1593367200,1593720000,84.39433715820317
42,1593496800,1593720000,84.77940795898442
43,1593583200,1593720000,83.57003295898441
44,1593604800,1593720000,83.93000000000004
45,1593324000,1593720000,84.10995605468754
46,1593410400,1593720000,83.74998901367192
47,1593388800,1593720000,84.14478271484379
48,1593432000,1593720000,84.29002197265629
49,1593475200,1593720000,84.54473999023442
50,1593345600,1593720000,84.46997802734379
51,1593302400,1593720000,84.20806396484379
52,1593453600,1593720000,84.29002197265629
53,1593518400,1593720000,84.29002197265629
54,1593561600,1593720000,83.93000000000004
55,1593540000,1593720000,84.46997802734379
56,1593626400,1593720000,83.74998901367192
57,1593691200,1593720000,84.61856811523441
58,1593691200,1593723600,84.3456127929688
59,1593669600,1593723600,84.16999633789067
60,1593648000,1593723600,83.79843872070316
61,1593540000,1593723600,84.56187866210942
62,1593324000,1593723600,83.92994506835942
63,1593432000,1593723600,84.28996704101567
64,1593367200,1593723600,84.37719848632817
65,1593302400,1593723600,84.13648803710942
66,1593604800,1593723600,83.74998901367192
67,1593345600,1593723600,84.3034252929688
68,1593388800,1593723600,83.99959838867191
69,1593496800,1593723600,84.70058105468755
70,1593518400,1593723600,84.29002197265629
71,1593453600,1593723600,84.11654785156254
72,1593410400,1593723600,83.66803100585942
73,1593626400,1593723600,83.74998901367192
74,1593583200,1593723600,83.57234008789067
75,1593475200,1593723600,84.4868969726563
76,1593561600,1593723600,83.56591308593754
77,1593669600,1593727200,83.95329101562504
78,1593648000,1593727200,83.75938232421879
79,1593302400,1593727200,84.03530395507816
80,1593604800,1593727200,83.77646606445316
81,1593518400,1593727200,84.2891430664063
82,1593561600,1593727200,83.57310913085942
83,1593475200,1593727200,84.19669311523441
84,1593496800,1593727200,84.64998901367191
85,1593583200,1593727200,83.77179687500004
86,1593626400,1593727200,83.13068969726567
87,1593410400,1593727200,83.74998901367192
88,1593345600,1593727200,84.12066772460942
89,1593432000,1593727200,84.11001098632816
90,1593367200,1593727200,84.13473022460941
91,1593388800,1593727200,83.97010009765629
92,1593540000,1593727200,84.64998901367191
93,1593691200,1593727200,84.21245849609379
94,1593324000,1593727200,83.74998901367192
95,1593453600,1593727200,84.01168334960941
96,1593691200,1593730800,84.18274047851567
97,1593669600,1593730800,84.03601806640629
98,1593648000,1593730800,83.84716308593754
99,1593604800,1593730800,83.77179687500004
100,1593583200,1593730800,84.04810302734379
101,1593388800,1593730800,83.92994506835942
102,1593496800,1593730800,84.46767089843755
103,1593518400,1593730800,84.10770385742191
104,1593453600,1593730800,84.1100659179688
105,1593626400,1593730800,82.7664379882813
106,1593345600,1593730800,84.11001098632816
107,1593367200,1593730800,84.11231811523442
108,1593432000,1593730800,84.09523437500005
109,1593302400,1593730800,84.2012524414063
110,1593324000,1593730800,83.70999877929691
111,1593410400,1593730800,83.74998901367192
112,1593475200,1593730800,84.21427124023441
113,1593561600,1593730800,83.38996704101567
114,1593540000,1593730800,84.64998901367191
115,1593691200,1593734400,84.16126220703129
116,1593669600,1593734400,84.0529370117188
117,1593496800,1593734400,84.47234008789067
118,1593388800,1593734400,83.93000000000004
119,1593367200,1593734400,84.44152343750004
120,1593453600,1593734400,84.09506958007816
121,1593475200,1593734400,84.20042846679692
122,1593648000,1593734400,83.85600708007817
123,1593302400,1593734400,84.29002197265629
124,1593345600,1593734400,84.11001098632816
125,1593410400,1593734400,83.70088012695317
126,1593432000,1593734400,83.57003295898441
127,1593583200,1593734400,83.99542358398442
128,1593518400,1593734400,84.11325195312504
129,1593561600,1593734400,83.57003295898441
130,1593604800,1593734400,83.57931640625004
131,1593324000,1593734400,83.76053588867191
132,1593626400,1593734400,83.15694702148441
133,1593540000,1593734400,84.54935424804691
134,1593691200,1593738000,84.05167358398441
135,1593669600,1593738000,84.12495239257817
136,1593648000,1593738000,83.66847045898442
137,1593496800,1593738000,84.56495483398442
