,GFS Run Time,GFS Order Time,GFS 2m Temperature Value
0,1593669600,1593712800,67.66644409179692
1,1593648000,1593712800,67.97362182617192
2,1593453600,1593712800,68.53117797851567
3,1593410400,1593712800,65.9397778320313
4,1593583200,1593712800,68.70470703125004
5,1593604800,1593712800,68.10529296875004
6,1593367200,1593712800,68.63000000000004
7,1593496800,1593712800,67.73230712890629
8,1593626400,1593712800,67.54998901367192
9,1593324000,1593712800,68.12479370117191
10,1593345600,1593712800,65.60760620117192
11,1593432000,1593712800,68.44998901367191
12,1593280800,1593712800,66.29002197265629
13,1593302400,1593712800,68.81001098632817
14,1593518400,1593712800,67.93115966796879
15,1593561600,1593712800,68.09002197265629
16,1593388800,1593712800,67.1900219726563
17,1593475200,1593712800,68.27003295898442
18,1593691200,1593712800,67.01001098632817
19,1593540000,1593712800,68.27003295898442
20,1593691200,1593716400,65.57003295898441
21,1593648000,1593716400,66.29002197265629
22,1593669600,1593716400,65.93000000000004
23,1593604800,1593716400,67.20534790039066
24,1593367200,1593716400,67.18996704101566
25,1593432000,1593716400,66.64998901367191
26,1593345600,1593716400,65.03000000000004
27,1593302400,1593716400,68.62994506835942
28,1593496800,1593716400,67.37003295898441
29,1593583200,1593716400,66.91118896484379
30,1593453600,1593716400,67.91001098632816
31,1593410400,1593716400,64.67003295898442
32,1593324000,1593716400,67.73000000000005
33,1593518400,1593716400,67.01001098632817
34,1593388800,1593716400,65.39002197265629
35,1593475200,1593716400,67.59558227539067
36,1593626400,1593716400,66.12528198242191
37,1593561600,1593716400,66.43707397460942
38,1593540000,1593716400,67.18996704101566
39,1593648000,1593720000,64.30924194335941
40,1593669600,1593720000,63.86814086914067
41,1593367200,1593720000,64.77434814453129
42,1593496800,1593720000,65.15941894531254
43,1593583200,1593720000,64.84998901367192
44,1593604800,1593720000,64.84998901367192
45,1593324000,1593720000,65.20995605468754
46,1593410400,1593720000,63.04998901367192
47,1593388800,1593720000,63.08476074218754
48,1593432000,1593720000,64.67003295898442
49,1593475200,1593720000,65.64473999023441
50,1593345600,1593720000,61.96997802734379
51,1593302400,1593720000,66.20806396484379
52,1593453600,1593720000,65.57003295898441
53,1593518400,1593720000,65.03000000000004
54,1593561600,1593720000,64.67003295898442
55,1593540000,1593720000,65.02994506835941
56,1593626400,1593720000,64.31001098632817
57,1593691200,1593720000,63.59458129882817
58,1593691200,1593723600,62.18761718750004
59,1593669600,1593723600,62.24600952148442
60,1593648000,1593723600,62.666456298828166
61,1593540000,1593723600,62.78186767578129
62,1593324000,1593723600,62.329945068359415
63,1593432000,1593723600,63.04998901367192
64,1593367200,1593723600,62.59718750000004
65,1593302400,1593723600,63.076466064453165
66,1593604800,1593723600,63.04998901367192
67,1593345600,1593723600,58.383436279296916
68,1593388800,1593723600,61.49959838867191
69,1593496800,1593723600,62.92057006835942
70,1593518400,1593723600,63.04998901367192
71,1593453600,1593723600,63.05658081054692
72,1593410400,1593723600,61.16803100585942
73,1593626400,1593723600,62.69002197265629
74,1593583200,1593723600,63.05235107421879
75,1593475200,1593723600,61.62687500000004
76,1593561600,1593723600,62.86591308593754
77,1593669600,1593727200,61.39929321289067
78,1593648000,1593727200,61.72739990234379
79,1593302400,1593727200,59.915314941406294
80,1593604800,1593727200,61.81644409179692
81,1593518400,1593727200,61.24911010742191
82,1593561600,1593727200,61.79309814453129
83,1593475200,1593727200,58.996693115234415
84,1593496800,1593727200,60.16997802734379
85,1593583200,1593727200,61.99178588867191
86,1593626400,1593727200,61.51267211914067
87,1593410400,1593727200,61.249989013671915
88,1593345600,1593727200,57.30062377929691
89,1593432000,1593727200,62.51001098632817
90,1593367200,1593727200,60.19469726562504
91,1593388800,1593727200,60.930067138671916
92,1593540000,1593727200,61.609956054687544
93,1593691200,1593727200,61.622425537109415
94,1593324000,1593727200,58.54998901367192
95,1593453600,1593727200,61.33167236328129
96,1593691200,1593730800,60.40470092773442
97,1593669600,1593730800,59.79001586914067
98,1593648000,1593730800,60.249134521484415
99,1593604800,1593730800,59.47179687500004
100,1593583200,1593730800,59.928114013671916
101,1593388800,1593730800,59.44998901367192
102,1593496800,1593730800,57.64768188476567
103,1593518400,1593730800,59.087659912109416
104,1593453600,1593730800,59.81006591796879
105,1593626400,1593730800,59.72645996093754
106,1593345600,1593730800,56.749989013671915
107,1593367200,1593730800,57.112318115234416
108,1593432000,1593730800,61.41522338867192
109,1593302400,1593730800,57.56121948242192
110,1593324000,1593730800,56.548005371093794
111,1593410400,1593730800,60.89002197265629
112,1593475200,1593730800,58.47423828125004
113,1593561600,1593730800,60.52994506835942
114,1593540000,1593730800,59.810010986328166
115,1593691200,1593734400,58.277253417968794
116,1593669600,1593734400,57.80896118164067
117,1593496800,1593734400,57.472340087890665
118,1593388800,1593734400,57.47003295898442
119,1593367200,1593734400,56.613538818359416
120,1593453600,1593734400,58.895069580078165
121,1593475200,1593734400,58.280384521484415
122,1593648000,1593734400,58.33196533203129
123,1593302400,1593734400,56.030000000000044
124,1593345600,1593734400,55.670032958984415
125,1593410400,1593734400,60.12086914062504
126,1593432000,1593734400,60.710010986328165
127,1593583200,1593734400,57.89542358398442
128,1593518400,1593734400,58.19326293945316
129,1593561600,1593734400,58.54998901367192
130,1593604800,1593734400,56.759327392578165
131,1593324000,1593734400,56.79651611328129
132,1593626400,1593734400,57.812916259765665
133,1593540000,1593734400,57.72936523437504
134,1593691200,1593738000,56.99767578125004
135,1593669600,1593738000,56.49494140625004
136,1593648000,1593738000,56.830518798828166
137,1593496800,1593738000,57.74491088867192
